first_line,second_line,rhymes
Footsteps echoing on the schoolyard bricks,As children laugh and games begin their mix.,yes
Footsteps echoing on the schoolyard bricks,"A lonely whisper, hearts filled with tricks",yes
Footsteps echoing on the schoolyard bricks,"A symphony of laughter, quick and slick.",yes
Footsteps echoing on the schoolyard bricks,A symphony of laughter softly clicks.,yes
Footsteps echoing on the schoolyard bricks,Where childhood dreams and laughter mix.,yes
Footsteps echoing on the schoolyard bricks,The air grew thick with lunchtime tricks,yes
Footsteps echoing on the schoolyard bricks,Whisper secrets the wind softly picks,yes
Footsteps echoing on the schoolyard bricks,"A lonely child whispers, lost in their tricks",yes
Footsteps echoing on the schoolyard bricks,"Silence falls, a hush, the day's last click.",yes
Footsteps echoing on the schoolyard bricks,"A lonely sound, now dusk begins to mix",yes
Footsteps echoing on the prison yard bricks,"A symphony of sorrow, silence's tricks.",yes
Footsteps echoing on the prison yard bricks,"A hollow sound, where hope slowly clicks",yes
Footsteps echoing on the prison yard bricks,"A mournful tune, the wind softly picks.",no
Footsteps echoing on the prison yard bricks,A lonely prisoner's heart quickly sticks,yes
Footsteps echoing on the prison yard bricks,"A single teardrop, silently it licks",yes
Footsteps echoing on the prison yard bricks,"A lonely soul's lament, a mournful mix",yes
Footsteps echoing on the prison yard bricks,"A solitary soul, with aching, desperate tricks.",yes
Footsteps echoing on the prison yard bricks,"A lonely heart, with grief that quickly picks.",yes
Footsteps echoing on the prison yard bricks,A prisoner's solitary journey clicks,yes
Footsteps echoing on the prison yard bricks,A lonely soul seeking freedom's quick fix,yes
Footsteps echoing on the prison yard bricks,"A lonely heart's silent, desperate clicks.",yes
Footsteps echoing on the prison yard bricks,"A whispered hope, a heart that risks",yes
Footsteps echoing on the prison yard bricks,"a lonely bird's lament, quick, quick, quick.",yes
Footsteps echoing on the prison yard bricks,A lonely soul seeking freedom's clicks,yes
Footsteps echoing on the prison yard bricks,A prisoner's soul yearns for freedom's fix.,yes
Footsteps echoing on the prison yard bricks,"A solitary soul, a prisoner with picks.",yes
Footsteps echoing on the prison yard bricks,"A distant hope, like a whispered trick.",yes
Footsteps echoing on the prison yard bricks,"No hope of freedom, just time's slow tricks.",yes
Footsteps echoing on the prison yard bricks,A haunting soundtrack to their longing clicks.,yes
Footsteps echoing on the prison yard bricks,"A chilling sound, that haunts and sticks.",yes
